
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0        144 K
Registry                       120 Services                   0     56,248 K
smss.exe                       420 Services                   0      1,024 K
csrss.exe                      692 Services                   0      5,680 K
csrss.exe                      788 Console                    1      7,604 K
wininit.exe                    812 Services                   0      6,532 K
winlogon.exe                   872 Console                    1     14,240 K
services.exe                   928 Services                   0      8,920 K
lsass.exe                      948 Services                   0     23,260 K
svchost.exe                    644 Services                   0     33,432 K
fontdrvhost.exe                696 Services                   0      2,816 K
fontdrvhost.exe                784 Console                    1      8,596 K
svchost.exe                   1088 Services                   0     18,732 K
svchost.exe                   1124 Services                   0      8,476 K
dwm.exe                       1196 Console                    1     99,704 K
svchost.exe                   1240 Services                   0      4,084 K
svchost.exe                   1316 Services                   0      6,264 K
svchost.exe                   1400 Services                   0      6,432 K
svchost.exe                   1556 Services                   0      8,216 K
svchost.exe                   1628 Services                   0     16,116 K
svchost.exe                   1688 Services                   0     21,244 K
svchost.exe                   1728 Services                   0      6,404 K
svchost.exe                   1752 Services                   0      9,804 K
svchost.exe                   1824 Services                   0      8,064 K
svchost.exe                   1860 Services                   0      7,812 K
svchost.exe                   1912 Services                   0     10,620 K
svchost.exe                   1996 Services                   0     18,848 K
svchost.exe                   1208 Services                   0     15,896 K
svchost.exe                   2060 Services                   0     16,392 K
svchost.exe                   2088 Services                   0     10,556 K
svchost.exe                   2200 Services                   0      8,448 K
svchost.exe                   2248 Services                   0     12,960 K
svchost.exe                   2264 Services                   0      8,064 K
IntelCpHDCPSvc.exe            2328 Services                   0      7,508 K
IntelCpHeciSvc.exe            2488 Services                   0      7,028 K
svchost.exe                   2764 Services                   0     10,232 K
svchost.exe                   2940 Services                   0     11,960 K
svchost.exe                    652 Services                   0     14,604 K
svchost.exe                   1328 Services                   0    104,136 K
svchost.exe                   1332 Services                   0      5,864 K
svchost.exe                   2784 Services                   0      7,628 K
svchost.exe                   3200 Services                   0      8,476 K
igfxCUIService.exe            3252 Services                   0      9,120 K
Memory Compression            3280 Services                   0    153,956 K
svchost.exe                   3324 Services                   0     11,216 K
svchost.exe                   3404 Services                   0      6,800 K
svchost.exe                   3436 Services                   0      6,860 K
svchost.exe                   3484 Services                   0     12,860 K
spoolsv.exe                   3552 Services                   0     15,280 K
svchost.exe                   3564 Services                   0     15,336 K
svchost.exe                   3660 Services                   0      7,744 K
svchost.exe                   3712 Services                   0      9,988 K
svchost.exe                   3720 Services                   0     39,016 K
svchost.exe                   3728 Services                   0     16,076 K
svchost.exe                   3772 Services                   0      6,436 K
svchost.exe                   3816 Services                   0      5,608 K
svchost.exe                   3836 Services                   0     16,044 K
svchost.exe                   3860 Services                   0     22,276 K
AdminService.exe              3988 Services                   0      7,100 K
nvcontainer.exe               4004 Services                   0     35,048 K
OneApp.IGCC.WinService.ex     4040 Services                   0     18,124 K
OfficeClickToRun.exe          4052 Services                   0     24,132 K
MsMpEng.exe                   4076 Services                   0    103,844 K
svchost.exe                   4384 Services                   0      9,096 K
svchost.exe                   4432 Services                   0     11,988 K
svchost.exe                   4564 Services                   0      6,936 K
svchost.exe                   4996 Services                   0      7,268 K
rundll32.exe                  5116 Console                    1      7,712 K
dllhost.exe                   3676 Services                   0     11,840 K
MpCopyAccelerator.exe         2396 Services                   0      5,756 K
NisSrv.exe                    2732 Services                   0     10,656 K
svchost.exe                   2260 Services                   0     50,572 K
AggregatorHost.exe            4140 Services                   0      5,936 K
svchost.exe                   4796 Services                   0     19,776 K
NVDisplay.Container.exe       4744 Services                   0     18,096 K
SgrmBroker.exe                1896 Services                   0      8,952 K
svchost.exe                   3124 Services                   0     14,980 K
svchost.exe                   4156 Services                   0     15,144 K
svchost.exe                   3384 Services                   0     10,088 K
SearchIndexer.exe             4984 Services                   0     36,860 K
NVDisplay.Container.exe       4236 Console                    1     43,276 K
svchost.exe                   4596 Services                   0      8,764 K
svchost.exe                   4488 Services                   0     13,856 K
nvcontainer.exe               2284 Console                    1     26,356 K
sihost.exe                    5176 Console                    1     36,616 K
